County,Total cases,Deaths,Population,Density, Region, Group
LA,9420,320,10039108,2099.4,8, 5
SD,1847,47,3337685,703.4, 10, 5
RIV,1751,50,2423266,310.4, 7, 5
SCL,1666,60,1938153,1412.2, 3,2
OC,1283,19,3190400,3255.4,9, 5
SBD,977,31,2157404,103.4,7, 5
SF,957,15,884363,3575.3,3,2
ALA,886,23,1663190,1898.5,3,2
SAC,739,27,1530615,1459.0,1,1
SM,701,21,771410,998.5,3,2
CC,552,11,1147439,1345.2,3,2
KER,446,3,893119,105.1,6,4
VEN,317,10,854223,378.5,5,3
SJ,309,17,745424,491.4,4,4
SB,284,2,448150,113.9,5,3
TUL,264,13,464493,93.2,6,4
FRE,222,5,989255,157.8,6,4
MRN,170,10,260955,310.1,3,2
SON,147,2,504217,278.2,2,1
STA,146,2,547899,345.2,4,4
SOL,135,2,445458,465.3,3,2
PLA,127,5,386166,240.6,1,1
SLO,117,1,283405,75.8,5,3
YOL,101,4,219116,199.5,1,1
IMP,100,3,182830,39.5,10, 5
SCR,91,1,275897,440.1,5,3
MON,87,3,437907,112.7,5,3
MER,69,3,272673,132.2,4,4
HUM,50,0,136754,33.3,2,1
SBT,38,2,60317,40.9,5,3
ED,34,0,188987,101.6,1,1
NAP,34,2,140973,176.6,2,1
NEV,34,1,99814,101.3,1,1
MAD,33,2,156890,70.8,4,4
SHA,25,3,179921,46.4,1,1
MNO,23,1,14168,4.5,4,4
SUT,22,2,96648,156.2,1,1
YUB,15,1,77031,113.5,1,1
BUT,15,0,229294,132.1,1,1
INY,12,0,18026,1.8,6,4
KIN,12,1,150101,108.8,6,4
CAL,9,0,45670,43.3,4,4
AMA,7,0,38626,61.3,4,4
SIS,5,0,43853,7.0,1,1
GLE,4,0,28094,21.1,1,1
LAK,4,0,64246,48.3,2,1
MEN,4,0,88018,22.6,2,1
PLU,4,0,18742,7.4,1,1
COL,3,0,21805,18.5,1,1
DN,2,0,27470,22.8,2,1
ALP,1,0,11200,1.6,4,4
TEH,1,0,63926,21.4,1,1
TUO,1,0,54248,23.9,4,4
LAS,0,0,31185,7.1,1,1
MPA,0,0,17540,12.3,4,4
MOD,0,0,8934,2.2,1,1
SIE,0,0,2930,3.1,1,1
TRI,0,0,12862,4.2,2,1
